as_of,engine,rank,team,confederation,attack,defence,rating,opp_rating
2026-06-17,dc,118,Kenya,CAF,0.2727,-0.1246,0.3973,0.5213
2026-06-17,dc,119,Sierra Leone,CAF,0.2442,-0.1237,0.3679,0.6065
2026-06-17,dc,120,Azerbaijan,UEFA,0.1664,-0.1979,0.3643,1.0207
2026-06-17,dc,121,Sudan,CAF,-0.0197,-0.3731,0.3534,0.939
2026-06-17,dc,122,Suriname,CONCACAF,0.137,-0.2153,0.3523,0.1362
2026-06-17,dc,123,Kuwait,AFC,0.3113,0.0085,0.3028,0.5631
2026-06-17,dc,124,Ethiopia,CAF,0.2066,-0.0943,0.3009,0.6519
2026-06-17,dc,125,Latvia,UEFA,0.0507,-0.2485,0.2993,0.8852
2026-06-17,dc,126,Malawi,CAF,-0.0275,-0.3254,0.2979,0.5463
2026-06-17,dc,127,Curaçao,CONCACAF,0.2624,-0.0252,0.2876,0.1463
2026-06-17,dc,128,Thailand,AFC,0.2303,-0.0502,0.2805,-0.1939
2026-06-17,dc,129,Lithuania,UEFA,-0.0366,-0.3078,0.2712,1.1168
2026-06-17,dc,130,Burundi,CAF,0.1612,-0.1064,0.2675,0.7886
2026-06-17,dc,131,Liberia,CAF,0.1349,-0.1033,0.2383,0.7043
2026-06-17,dc,132,Namibia,CAF,-0.0147,-0.251,0.2363,0.6972
2026-06-17,dc,133,Botswana,CAF,0.0377,-0.1924,0.2301,0.8361
2026-06-17,dc,134,Malta,UEFA,0.1066,-0.1229,0.2295,0.9989
2026-06-17,dc,135,Vietnam,AFC,0.1354,-0.0808,0.2162,-0.1235
2026-06-17,dc,136,Indonesia,AFC,0.1664,-0.0205,0.1869,0.2232
2026-06-17,dc,137,Lebanon,AFC,-0.1406,-0.3095,0.1689,-0.1142
2026-06-17,dc,138,Kyrgyzstan,AFC,0.1571,-0.0047,0.1619,0.4658
2026-06-17,dc,139,Guinea-Bissau,CAF,-0.0509,-0.2105,0.1595,0.7997
2026-06-17,dc,140,Moldova,UEFA,0.1362,-0.0203,0.1564,1.004
2026-06-17,dc,141,Central African Republic,CAF,0.2894,0.1402,0.1493,0.717
2026-06-17,dc,142,Tajikistan,AFC,0.0026,-0.1005,0.1031,-0.2326
2026-06-17,dc,143,Eswatini,CAF,0.1008,0.0253,0.0755,0.6506
2026-06-17,dc,144,Lesotho,CAF,-0.0972,-0.1471,0.05,0.7127
2026-06-17,dc,145,Congo,CAF,0.0878,0.0906,-0.0028,0.841
2026-06-17,dc,146,Dominican Republic,CONCACAF,0.1319,0.1422,-0.0103,-0.3434
2026-06-17,dc,147,Trinidad and Tobago,CONCACAF,0.0866,0.1193,-0.0328,0.3048
2026-06-17,dc,148,El Salvador,CONCACAF,-0.309,-0.231,-0.078,0.3099
2026-06-17,dc,149,Nicaragua,CONCACAF,-0.1225,-0.0442,-0.0783,0.1496
2026-06-17,dc,150,Malaysia,AFC,0.0499,0.1363,-0.0863,-0.3935
2026-06-17,dc,151,Yemen,AFC,0.1208,0.3384,-0.2176,-0.4174
2026-06-17,dc,152,Guadeloupe,CONCACAF,-0.0857,0.1574,-0.2431,-0.5483
2026-06-17,dc,153,Martinique,CONCACAF,-0.1893,0.108,-0.2974,0.0962
2026-06-17,dc,154,Turkmenistan,AFC,-0.192,0.1701,-0.3622,-0.1116
2026-06-17,dc,155,Chad,CAF,-0.2741,0.0898,-0.364,0.7184
2026-06-17,dc,156,South Sudan,CAF,-0.314,0.0964,-0.4104,0.6928
2026-06-17,dc,157,Guyana,CONCACAF,0.0737,0.5131,-0.4394,-0.7157
2026-06-17,dc,158,Hong Kong,AFC,-0.2787,0.2023,-0.481,-0.6546
2026-06-17,dc,159,French Guiana,CONCACAF,-0.1591,0.3399,-0.499,-0.5882
2026-06-17,dc,160,Mauritius,CAF,-0.3893,0.1122,-0.5014,0.2113
2026-06-17,dc,161,Philippines,AFC,-0.129,0.4001,-0.529,-0.6063
2026-06-17,dc,162,Andorra,UEFA,-0.7413,-0.183,-0.5584,0.832
2026-06-17,dc,163,India,AFC,-0.4716,0.1029,-0.5745,-0.2262
2026-06-17,dc,164,Northern Cyprus,,-0.2926,0.3187,-0.6113,-1.5557
2026-06-17,dc,165,Padania,,-0.4361,0.2109,-0.647,-1.703
2026-06-17,dc,166,Somalia,CAF,-0.5773,0.0813,-0.6587,0.6863
2026-06-17,dc,167,Cuba,CONCACAF,-0.2999,0.3613,-0.6612,-0.2766
2026-06-17,dc,168,Gibraltar,UEFA,-0.4166,0.2921,-0.7087,0.4893
2026-06-17,dc,169,Puerto Rico,CONCACAF,-0.2611,0.4594,-0.7205,-0.8398
2026-06-17,dc,170,Bermuda,CONCACAF,0.0141,0.7521,-0.7379,-0.2631
2026-06-17,dc,171,Singapore,AFC,-0.26,0.5386,-0.7986,-0.5711
2026-06-17,dc,172,Abkhazia,,-0.5611,0.2477,-0.8088,-1.6423
2026-06-17,dc,173,Djibouti,CAF,-0.2505,0.5781,-0.8286,0.5632
2026-06-17,dc,174,São Tomé and Príncipe,CAF,-0.2258,0.6303,-0.8561,0.4637
2026-06-17,dc,175,Kárpátalja,,-0.1961,0.6806,-0.8767,-1.464
2026-06-17,dc,176,Saint Vincent and the Grenadines,CONCACAF,-0.1517,0.7717,-0.9234,-0.9752
2026-06-17,dc,177,Grenada,CONCACAF,-0.4956,0.6352,-1.1308,-0.4364
2026-06-17,dc,178,New Caledonia,OFC,-0.5733,0.5619,-1.1352,-1.6516
2026-06-17,dc,179,Taiwan,AFC,-0.2743,0.8713,-1.1456,-0.4091
