gd_cap,half_life,friendly_w,cross_conf_w,shrink_mode,shrink_w,anchor_beta,elo_tau,matches,points,pts_per_match,exact,rps,log_loss
,365,0.75,1.5,,0.0,0.0,0.0,290,604.0,2.0827586206896553,37,0.19027871363514398,2.791351019895918
3.0,545,1.0,2.0,,0.0,0.0,0.0,290,596.0,2.0551724137931036,39,0.190297638118013,2.7909712989903888
,365,1.0,1.0,,0.0,0.0,0.0,290,594.0,2.0482758620689654,36,0.19029986608505214,2.7876120373481195
,365,1.0,1.5,,0.0,0.0,0.0,290,601.0,2.0724137931034483,37,0.19031430061493163,2.7899989643942167
3.0,1095,1.0,1.0,,0.0,0.0,0.0,290,610.0,2.103448275862069,40,0.1903265083294656,2.783304348420038
,365,0.75,2.0,,0.0,0.0,0.0,290,597.0,2.0586206896551724,37,0.19034743251986647,2.793882593708556
3.0,545,1.0,1.0,,0.0,0.0,0.0,290,591.0,2.037931034482759,38,0.19035552535759698,2.78915992863758
,365,0.5,2.0,,0.0,0.0,0.0,290,618.0,2.1310344827586207,40,0.1903791039487097,2.7970043923843035
3.0,545,0.75,2.0,,0.0,0.0,0.0,290,589.0,2.0310344827586206,37,0.1903880677338456,2.7928219651810373
,365,0.75,1.0,,0.0,0.0,0.0,290,587.0,2.024137931034483,34,0.19039867832635926,2.790594777772921
3.0,730,0.75,1.0,,0.0,0.0,0.0,290,598.0,2.0620689655172413,39,0.19040069361191728,2.7884443547145907
3.0,1095,0.75,1.5,,0.0,0.0,0.0,290,624.0,2.1517241379310343,43,0.1904024946482142,2.7857529017724314
3.0,545,0.75,1.5,,0.0,0.0,0.0,290,588.0,2.027586206896552,38,0.1904112330568483,2.7919832309006387
,365,0.5,1.5,,0.0,0.0,0.0,290,616.0,2.1241379310344826,41,0.1904486864362048,2.7957843808736946
3.0,730,0.5,2.0,,0.0,0.0,0.0,290,604.0,2.0827586206896553,40,0.19050279387531488,2.7923796804467753
,365,1.0,2.0,,0.0,0.0,0.0,290,597.0,2.0586206896551724,38,0.1905138524371777,2.794201755316203
3.0,545,0.75,1.0,,0.0,0.0,0.0,290,582.0,2.0068965517241377,36,0.19054749542371952,2.792707294963909
3.0,730,0.5,1.5,,0.0,0.0,0.0,290,617.0,2.127586206896552,42,0.1906124079551999,2.793033599963456
3.0,1095,0.75,1.0,,0.0,0.0,0.0,290,617.0,2.127586206896552,40,0.19063483360131894,2.787449953325224
3.0,545,0.5,2.0,,0.0,0.0,0.0,290,590.0,2.0344827586206895,38,0.1906509958711595,2.7968688894916105
,365,0.5,1.0,,0.0,0.0,0.0,290,605.0,2.086206896551724,38,0.19071319813603724,2.7971571500519308
3.0,545,0.5,1.5,,0.0,0.0,0.0,290,580.0,2.0,37,0.19071808574284024,2.797106505705743
3.0,1095,0.5,2.0,,0.0,0.0,0.0,290,632.0,2.179310344827586,44,0.19073916071096048,2.7906923493787605
3.0,730,0.5,1.0,,0.0,0.0,0.0,290,592.0,2.0413793103448277,39,0.1907774290741538,2.7944238743757226
4.0,365,1.0,1.0,,0.0,0.0,0.0,290,588.0,2.027586206896552,34,0.190790657475774,2.7927632659333197
4.0,365,0.75,1.5,,0.0,0.0,0.0,290,576.0,1.986206896551724,35,0.19079589810969727,2.79574790169886
4.0,365,0.75,1.0,,0.0,0.0,0.0,290,573.0,1.9758620689655173,32,0.19084332759158285,2.7949595337456064
4.0,365,1.0,1.5,,0.0,0.0,0.0,290,573.0,1.9758620689655173,36,0.19085662417100902,2.795102658843594
3.0,545,0.5,1.0,,0.0,0.0,0.0,290,575.0,1.9827586206896552,37,0.190876924215667,2.7987406159414197
3.0,1095,0.5,1.5,,0.0,0.0,0.0,290,631.0,2.1758620689655173,43,0.19088220229690228,2.7915945539437548
4.0,365,0.5,1.5,,0.0,0.0,0.0,290,582.0,2.0068965517241377,35,0.19088618477960456,2.7992621668399322
